Date,Open,High,Low,Close,Adj Close,Volume,SMA20,2xstd,ld,hd,std,psd,nsd
2020-06-19,7.36,7.63,7.23,7.34,7.34,84604200,5.366,2.5619633096514085,2.804036690348591,7.927963309651409,1.2809816548257043,6.646981654825704,4.085018345174295
2020-06-22,7.86,7.9,7.38,7.43,7.43,112976000,5.5665,2.5205418068343954,3.045958193165604,8.087041806834396,1.2602709034171977,6.826770903417197,4.306229096582802
2020-06-23,7.55,7.69,7.19,7.23,7.23,79863500,5.774500000000001,2.4124301026143744,3.3620698973856262,8.186930102614376,1.2062150513071872,6.980715051307188,4.568284948692813
2020-06-24,6.93,7.08,6.5,6.86,6.86,103888600,5.944999999999999,2.3158626902301442,3.629137309769855,8.260862690230145,1.1579313451150721,7.1029313451150715,4.787068654884927
2020-06-25,6.66,7.15,6.6,7.08,7.08,46660300,6.0795,2.1973117666821884,3.882188233317812,8.276811766682188,1.0986558833410942,7.178155883341095,4.980844116658906
2020-06-26,7.03,7.18,6.8,6.9,6.9,33596800,6.242000000000001,1.9775499993679049,4.264450000632096,8.219549999367906,0.9887749996839524,7.230774999683954,5.253225000316048
2020-06-29,6.98,7.25,6.71,7.23,7.23,46070400,6.388000000000002,1.6996187807858563,4.688381219214145,8.087618780785858,0.8498093903929281,7.23780939039293,5.538190609607073
2020-06-30,7.21,7.75,7.12,7.72,7.72,84485500,6.536500000000001,1.4270988052689275,5.109401194731074,7.963598805268928,0.7135494026344638,7.250049402634465,5.822950597365537
2020-07-01,7.79,7.99,7.67,7.91,7.91,64842600,6.687500000000002,1.2453894973059634,5.442110502694039,7.932889497305965,0.6226947486529817,7.310194748652983,6.06480525134702
2020-07-02,9.05,9.4,8.7,9.38,9.38,221496700,6.803000000000002,1.2490012009601914,5.55399879903981,8.052001200960193,0.6245006004800957,7.427500600480098,6.178499399519906
2020-07-06,11.05,12.3,10.93,11.51,11.51,329223800,6.9735,1.6226925155432255,5.350807484456774,8.596192515543224,0.8113462577716127,7.784846257771612,6.162153742228387
2020-07-07,11.26,13.77,10.7,13.22,13.22,444070500,7.269499999999999,2.4527166570967793,4.81678334290322,9.722216657096778,1.2263583285483897,8.495858328548389,6.043141671451609
2020-07-08,14.1,15.28,12.0,12.88,12.88,570911400,7.632,3.4977341236863615,4.134265876313638,11.129734123686362,1.7488670618431807,9.38086706184318,5.883132938156819
2020-07-09,13.5,14.63,13.07,14.57,14.57,316792000,7.941999999999998,4.144488388209093,3.797511611790905,12.08648838820909,2.0722441941045466,10.014244194104545,5.869755805895451
2020-07-10,15.61,15.73,14.2,14.98,14.98,318851300,8.3555,4.973901788334788,3.381598211665211,13.329401788334788,2.486950894167394,10.842450894167394,5.868549105832605
